App,Mode,buildTimeMs,timeToFirstOKRequestMs,startedInMs,stoppedInMs,RSSkB,FDs
FULL_MICROPROFILE,JVM,5239,1075,954,21,204232,75
FULL_MICROPROFILE,JVM,5239,1074,953,22,200144,75
FULL_MICROPROFILE,JVM,5239,1038,918,19,206064,75
FULL_MICROPROFILE,JVM,5239,1069,949,18,206524,75
FULL_MICROPROFILE,JVM,5239,1064,941,22,187612,75
FULL_MICROPROFILE,JVM,5239,1064,950,19,201548,75
FULL_MICROPROFILE,JVM,5239,1065,935,16,205676,75
FULL_MICROPROFILE,JVM,5239,1037,918,21,187056,75
FULL_MICROPROFILE,JVM,5239,1062,936,20,200612,75
FULL_MICROPROFILE,JVM,5239,1074,951,18,187956,75
FULL_MICROPROFILE,JVM,5239,1044,926,22,190364,75
FULL_MICROPROFILE,JVM,5239,1048,928,23,202288,75
FULL_MICROPROFILE,JVM,5239,1045,927,17,187388,75
FULL_MICROPROFILE,JVM,5239,1077,957,17,192552,75
FULL_MICROPROFILE,JVM,5239,1063,936,20,208652,75
FULL_MICROPROFILE,JVM,5239,1068,946,20,205992,75
FULL_MICROPROFILE,JVM,5239,1085,963,21,208212,75
FULL_MICROPROFILE,JVM,5239,1069,942,20,188952,75
FULL_MICROPROFILE,JVM,5239,1066,941,17,208416,75
FULL_MICROPROFILE,JVM,5239,1115,981,25,201672,75
FULL_MICROPROFILE,JVM,5239,1081,955,15,187972,75
FULL_MICROPROFILE,JVM,5239,1060,940,18,195796,75
FULL_MICROPROFILE,JVM,5239,1030,914,20,187984,75
FULL_MICROPROFILE,JVM,5239,1074,954,17,192388,75
FULL_MICROPROFILE,JVM,5239,1056,936,19,210640,75
FULL_MICROPROFILE,JVM,5239,1044,922,21,207040,75
FULL_MICROPROFILE,JVM,5239,1075,942,19,193268,75
FULL_MICROPROFILE,JVM,5239,1107,981,18,210456,75
FULL_MICROPROFILE,JVM,5239,1059,939,17,195332,75
FULL_MICROPROFILE,JVM,5239,1067,949,22,189964,75
