App,Mode,buildTimeMs,timeToFirstOKRequestMs,startedInMs,stoppedInMs,RSSkB,FDs
FULL_MICROPROFILE,NATIVE,42739,95,38,2,78272,33
FULL_MICROPROFILE,NATIVE,42739,94,39,3,78188,33
FULL_MICROPROFILE,NATIVE,42739,93,38,2,78024,33
FULL_MICROPROFILE,NATIVE,42739,93,38,2,78276,33
FULL_MICROPROFILE,NATIVE,42739,93,39,2,78256,33
FULL_MICROPROFILE,NATIVE,42739,93,38,2,78312,33
FULL_MICROPROFILE,NATIVE,42739,93,39,3,78176,33
FULL_MICROPROFILE,NATIVE,42739,94,39,2,78276,33
FULL_MICROPROFILE,NATIVE,42739,93,38,2,78276,33
FULL_MICROPROFILE,NATIVE,42739,92,38,1,78080,33
FULL_MICROPROFILE,NATIVE,42739,93,38,1,78260,33
FULL_MICROPROFILE,NATIVE,42739,93,38,2,78272,33
FULL_MICROPROFILE,NATIVE,42739,93,39,2,78276,33
FULL_MICROPROFILE,NATIVE,42739,93,38,1,78276,33
FULL_MICROPROFILE,NATIVE,42739,93,39,2,78248,33
FULL_MICROPROFILE,NATIVE,42739,93,38,2,78276,33
FULL_MICROPROFILE,NATIVE,42739,93,38,2,77976,33
FULL_MICROPROFILE,NATIVE,42739,93,39,2,78176,33
FULL_MICROPROFILE,NATIVE,42739,93,38,1,78072,33
FULL_MICROPROFILE,NATIVE,42739,92,38,2,78276,33
FULL_MICROPROFILE,NATIVE,42739,92,39,2,78072,33
FULL_MICROPROFILE,NATIVE,42739,93,39,2,78068,33
FULL_MICROPROFILE,NATIVE,42739,91,38,2,78260,33
FULL_MICROPROFILE,NATIVE,42739,92,39,1,78184,33
FULL_MICROPROFILE,NATIVE,42739,93,39,1,78208,33
FULL_MICROPROFILE,NATIVE,42739,94,39,2,78276,33
FULL_MICROPROFILE,NATIVE,42739,92,38,2,78272,33
FULL_MICROPROFILE,NATIVE,42739,92,38,2,77976,33
FULL_MICROPROFILE,NATIVE,42739,92,38,2,77980,33
FULL_MICROPROFILE,NATIVE,42739,93,38,1,78252,33
