App,Mode,buildTimeMs,timeToFirstOKRequestMs,startedInMs,stoppedInMs,RSSkB,FDs
FULL_MICROPROFILE,JVM,5244,1089,958,20,212628,75
FULL_MICROPROFILE,JVM,5244,1073,940,21,207676,75
FULL_MICROPROFILE,JVM,5244,1045,924,22,191476,75
FULL_MICROPROFILE,JVM,5244,1084,957,18,202984,75
FULL_MICROPROFILE,JVM,5244,1074,952,19,211844,75
FULL_MICROPROFILE,JVM,5244,1065,948,19,209068,75
FULL_MICROPROFILE,JVM,5244,1079,958,25,203312,75
FULL_MICROPROFILE,JVM,5244,1061,940,17,199824,75
FULL_MICROPROFILE,JVM,5244,1053,935,18,206220,75
FULL_MICROPROFILE,JVM,5244,1068,942,27,216972,75
FULL_MICROPROFILE,JVM,5244,1088,963,19,188936,75
FULL_MICROPROFILE,JVM,5244,1068,949,23,192356,75
FULL_MICROPROFILE,JVM,5244,1043,921,20,187208,75
FULL_MICROPROFILE,JVM,5244,1096,970,19,201224,75
FULL_MICROPROFILE,JVM,5244,1080,950,18,210784,75
FULL_MICROPROFILE,JVM,5244,1060,940,19,199148,75
FULL_MICROPROFILE,JVM,5244,1056,937,20,208072,75
FULL_MICROPROFILE,JVM,5244,1065,949,18,209360,75
FULL_MICROPROFILE,JVM,5244,1071,947,17,200644,75
FULL_MICROPROFILE,JVM,5244,1079,960,23,200696,75
FULL_MICROPROFILE,JVM,5244,1062,942,21,208200,75
FULL_MICROPROFILE,JVM,5244,1055,932,18,195544,75
FULL_MICROPROFILE,JVM,5244,1072,952,15,187364,75
FULL_MICROPROFILE,JVM,5244,1092,962,20,198872,75
FULL_MICROPROFILE,JVM,5244,1063,939,20,189948,75
FULL_MICROPROFILE,JVM,5244,1076,956,17,191256,75
FULL_MICROPROFILE,JVM,5244,1070,953,17,211172,75
FULL_MICROPROFILE,JVM,5244,1072,951,19,202768,75
FULL_MICROPROFILE,JVM,5244,1117,993,23,193508,75
FULL_MICROPROFILE,JVM,5244,1070,948,17,210388,75
