App,Mode,buildTimeMs,timeToFirstOKRequestMs,startedInMs,stoppedInMs,RSSkB,FDs
FULL_MICROPROFILE,NATIVE,43131,97,38,2,77864,33
FULL_MICROPROFILE,NATIVE,43131,96,39,1,77760,33
FULL_MICROPROFILE,NATIVE,43131,96,40,1,77876,33
FULL_MICROPROFILE,NATIVE,43131,95,39,1,77880,33
FULL_MICROPROFILE,NATIVE,43131,95,39,1,77640,33
FULL_MICROPROFILE,NATIVE,43131,95,39,2,77856,33
FULL_MICROPROFILE,NATIVE,43131,95,39,2,77832,33
FULL_MICROPROFILE,NATIVE,43131,95,39,2,77860,33
FULL_MICROPROFILE,NATIVE,43131,94,39,1,77620,33
FULL_MICROPROFILE,NATIVE,43131,95,38,2,77836,33
FULL_MICROPROFILE,NATIVE,43131,94,38,2,77736,33
FULL_MICROPROFILE,NATIVE,43131,93,38,2,77856,33
FULL_MICROPROFILE,NATIVE,43131,94,39,2,77860,33
FULL_MICROPROFILE,NATIVE,43131,95,38,2,77860,33
FULL_MICROPROFILE,NATIVE,43131,95,39,2,77640,33
FULL_MICROPROFILE,NATIVE,43131,94,39,2,77856,33
FULL_MICROPROFILE,NATIVE,43131,94,38,2,77664,33
FULL_MICROPROFILE,NATIVE,43131,95,38,1,77672,33
FULL_MICROPROFILE,NATIVE,43131,96,39,2,77828,33
FULL_MICROPROFILE,NATIVE,43131,98,39,1,77744,33
FULL_MICROPROFILE,NATIVE,43131,95,39,2,77856,33
FULL_MICROPROFILE,NATIVE,43131,95,39,1,77664,33
FULL_MICROPROFILE,NATIVE,43131,94,39,2,77620,33
FULL_MICROPROFILE,NATIVE,43131,97,39,2,77780,33
FULL_MICROPROFILE,NATIVE,43131,95,39,2,77832,33
FULL_MICROPROFILE,NATIVE,43131,95,39,1,77872,33
FULL_MICROPROFILE,NATIVE,43131,95,39,2,77860,33
FULL_MICROPROFILE,NATIVE,43131,95,39,2,77616,33
FULL_MICROPROFILE,NATIVE,43131,95,39,1,77884,33
FULL_MICROPROFILE,NATIVE,43131,94,39,2,77832,33
